date,candle_begin_time,daily_return,cumulative_return,,
2021/6/13,2021/6/13,0.006691992,1.336318059,,
2021/6/14,2021/6/14,0.00036596,1.337173059,,
2021/6/15,2021/6/15,0.003909912,1.346311201,,
2021/6/16,2021/6/16,0.004734659,1.357420185,,
2021/6/17,2021/6/17,0.000628903,1.358902774,,
2021/6/18,2021/6/18,0.003650949,1.367515006,,
2021/6/19,2021/6/19,0.008012358,1.386484385,,
2021/6/20,2021/6/20,-0.008032316,1.367315389,,
2021/6/21,2021/6/21,0.04356142,1.470439009,,
2021/6/22,2021/6/22,0.010707059,1.496890144,,
2021/6/23,2021/6/23,-0.012816944,1.464887643,,
2021/6/24,2021/6/24,-0.006488864,1.448893322,,
2021/6/25,2021/6/25,-0.002656639,1.442387495,,
2021/6/26,2021/6/26,-0.003403996,1.434073619,,
2021/6/27,2021/6/27,-0.008849128,1.412534191,,
2021/6/28,2021/6/28,0.002913858,1.419563974,,
2021/6/29,2021/6/29,0.003764761,1.428673053,,
2021/6/30,2021/6/30,0.002227326,1.434082501,,
2021/7/1,2021/7/1,0.000190296,1.434545696,,
2021/7/2,2021/7/2,-0.000466106,1.433410939,,
2021/7/3,2021/7/3,0.005553831,1.446925691,,
2021/7/4,2021/7/4,0.007735945,1.465854973,,
2021/7/5,2021/7/5,0.00165699,1.46994087,,
2021/7/6,2021/7/6,0.001928309,1.474703679,,
2021/7/7,2021/7/7,0.006063189,1.489708275,,
2021/7/8,2021/7/8,-0.002135431,1.484391675,,
2021/7/9,2021/7/9,-0.008212526,1.463988544,,
2021/7/10,2021/7/10,0.004669304,1.475493655,,
2021/7/11,2021/7/11,0.000285261,1.476199818,,
2021/7/12,2021/7/12,0.005548363,1.489938674,,
2021/7/13,2021/7/13,0.012428151,1.520884008,,
2021/7/14,2021/7/14,0.005855766,1.535645715,,
2021/7/15,2021/7/15,0.015295945,1.574430812,,
2021/7/16,2021/7/16,0.025351495,1.639696481,,
2021/7/17,2021/7/17,0.008731116,1.662743978,,
2021/7/18,2021/7/18,-0.012011078,1.630761552,,
2021/7/19,2021/7/19,0.021408157,1.687081308,,
2021/7/20,2021/7/20,0.012789817,1.721448587,,
2021/7/21,2021/7/21,-0.010465751,1.692966583,,
2021/7/22,2021/7/22,0.005969487,1.709042213,,
2021/7/23,2021/7/23,0.018985463,1.760474633,,
2021/7/24,2021/7/24,0.002137633,1.766375514,,
2021/7/25,2021/7/25,0.015736966,1.809909872,,
2021/7/26,2021/7/26,-0.036085442,1.708513033,,
2021/7/27,2021/7/27,-0.000989864,1.705831973,,
2021/7/28,2021/7/28,-0.009660534,1.679692191,,
2021/7/29,2021/7/29,-0.002190627,1.673821984,,
2021/7/30,2021/7/30,0.012691506,1.707756811,,
2021/7/31,2021/7/31,-0.007909559,1.686339648,,
2021/8/1,2021/8/1,0.006735565,1.704433664,,
2021/8/2,2021/8/2,-0.009076532,1.679886784,,
2021/8/3,2021/8/3,0.00754472,1.700105781,,
2021/8/4,2021/8/4,-0.014809359,1.660118944,,
2021/8/5,2021/8/5,0.005140886,1.673794313,,
2021/8/6,2021/8/6,-0.000579416,1.672245075,,
2021/8/7,2021/8/7,0.004654674,1.684683504,,
2021/8/8,2021/8/8,-0.007043802,1.665773126,,
2021/8/9,2021/8/9,0.004592712,1.678016254,,
2021/8/10,2021/8/10,-0.007210083,1.658707534,,
2021/8/11,2021/8/11,0.01460696,1.697543168,,
2021/8/12,2021/8/12,-0.0086928,1.674093966,,
2021/8/13,2021/8/13,0.031222302,1.757585334,,
2021/8/14,2021/8/14,0.024513646,1.825183806,,
2021/8/15,2021/8/15,0.002301281,1.831685346,,
2021/8/16,2021/8/16,-0.006307954,1.813823204,,
2021/8/17,2021/8/17,0.01086134,1.844385094,,
2021/8/18,2021/8/18,0.002505121,1.851510622,,
2021/8/19,2021/8/19,0.00069135,1.853482015,,
2021/8/20,2021/8/20,0.006915009,1.873213867,,
2021/8/21,2021/8/21,0.001913344,1.878711314,,
2021/8/22,2021/8/22,0.01803652,1.930633249,,
2021/8/23,2021/8/23,-0.002529251,1.923220941,,
2021/8/24,2021/8/24,-0.005791967,1.906289741,,
2021/8/25,2021/8/25,0.001589008,1.91090786,,
2021/8/26,2021/8/26,-0.009192654,1.88414889,,
2021/8/27,2021/8/27,-0.008193644,1.860517202,,
2021/8/28,2021/8/28,0.013988085,1.900530361,,
2021/8/29,2021/8/29,-0.000409789,1.899341755,,
2021/8/30,2021/8/30,0.018412857,1.952726921,,
2021/8/31,2021/8/31,0.010289993,1.98311046,,
2021/9/1,2021/9/1,0.00490361,1.997738471,,
2021/9/2,2021/9/2,-0.008761389,1.971474117,,
2021/9/3,2021/9/3,0.010079258,2.001424371,,
2021/9/4,2021/9/4,0.014400827,2.044647365,,
2021/9/5,2021/9/5,0.000657722,2.046649898,,
2021/9/6,2021/9/6,0.00302135,2.055854895,,
2021/9/7,2021/9/7,0.02606622,2.13550948,,
2021/9/8,2021/9/8,0.012164937,2.173652756,,
2021/9/9,2021/9/9,0.000947962,2.176661258,,
2021/9/10,2021/9/10,0.007669103,2.2010234,,
2021/9/11,2021/9/11,0.000812686,2.203624825,,
2021/9/12,2021/9/12,0.013280394,2.246170225,,
2021/9/13,2021/9/13,-0.003634021,2.234373574,,
2021/9/14,2021/9/14,-0.00094385,2.231320811,,
2021/9/15,2021/9/15,-0.004533976,2.21667008,,
2021/9/16,2021/9/16,0.001361135,2.221048401,,
2021/9/17,2021/9/17,-0.00317061,2.210835714,,
2021/9/18,2021/9/18,-0.016333607,2.158391184,,
2021/9/19,2021/9/19,0.005957418,2.177207041,,
2021/9/20,2021/9/20,-0.002045845,2.170706968,,
2021/9/21,2021/9/21,-0.013982108,2.126373801,,
2021/9/22,2021/9/22,0.003184898,2.136330984,,
2021/9/23,2021/9/23,0.0076282,2.160255544,,
2021/9/24,2021/9/24,0.006232551,2.179951999,,
2021/9/25,2021/9/25,-0.01056923,2.146342355,,
2021/9/26,2021/9/26,0.00533342,2.163123121,,
2021/9/27,2021/9/27,-0.0010315,2.159860359,,
2021/9/28,2021/9/28,0.006758083,2.181214959,,
2021/9/29,2021/9/29,-0.000454551,2.179768934,,
2021/9/30,2021/9/30,-0.008617722,2.152366571,,
2021/10/1,2021/10/1,-0.000617323,2.150420543,,
2021/10/2,2021/10/2,-0.002149262,2.143649463,,
2021/10/3,2021/10/3,0.006072554,2.162739443,,
2021/10/4,2021/10/4,0.019884831,2.225629983,,
2021/10/5,2021/10/5,0.009307039,2.255651047,,
2021/10/6,2021/10/6,0.060344698,2.452112325,,
2021/10/7,2021/10/7,-0.013618575,2.405099476,,
2021/10/8,2021/10/8,-0.003804592,2.39214446,,
2021/10/9,2021/10/9,-0.006675158,2.369501359,,
2021/10/10,2021/10/10,0.01938779,2.434828542,,
2021/10/11,2021/10/11,0.012781052,2.478729265,,
2021/10/12,2021/10/12,-0.013325571,2.432373211,,
2021/10/13,2021/10/13,0.003297642,2.44369195,,
2021/10/14,2021/10/14,-0.00192431,2.43706522,,
2021/10/15,2021/10/15,0.011497856,2.476584102,,
2021/10/16,2021/10/16,0.005409101,2.495389296,,
2021/10/17,2021/10/17,0.005461455,2.514479208,,
2021/10/18,2021/10/18,-0.00186952,2.507908821,,
2021/10/19,2021/10/19,0.005687845,2.527861262,,
2021/10/20,2021/10/20,-0.005787908,2.507442327,,
2021/10/21,2021/10/21,0.002045818,2.514617916,,
2021/10/22,2021/10/22,-0.013877645,2.465843297,,
2021/10/23,2021/10/23,0.005005574,2.483191831,,
2021/10/24,2021/10/24,0.008815541,2.513898051,,
2021/10/25,2021/10/25,0.00085628,2.516906932,,
2021/10/26,2021/10/26,-0.000727012,2.514350099,,
2021/10/27,2021/10/27,0.053224302,2.701398931,,
2021/10/28,2021/10/28,-0.023554876,2.614212938,,
2021/10/29,2021/10/29,0.004500114,2.63047731,,
2021/10/30,2021/10/30,0.021796043,2.709607349,,
2021/10/31,2021/10/31,-0.00365472,2.696049771,,
2021/11/1,2021/11/1,0.008745811,2.728374724,,
2021/11/2,2021/11/2,0.031475631,2.845727672,,
2021/11/3,2021/11/3,-0.000695669,2.843052317,,
2021/11/4,2021/11/4,-0.009179926,2.80777338,,
2021/11/5,2021/11/5,-0.013041172,2.758115554,,
2021/11/6,2021/11/6,0.001283537,2.762939233,,
2021/11/7,2021/11/7,0.002211137,2.771259608,,
2021/11/8,2021/11/8,0.004802423,2.78937079,,
2021/11/9,2021/11/9,0.01579196,2.84921238,,
2021/11/10,2021/11/10,0.014282096,2.904187199,,
2021/11/11,2021/11/11,-0.013105799,2.853019707,,
2021/11/12,2021/11/12,-0.008341455,2.820879915,,
2021/11/13,2021/11/13,-0.005212826,2.800962334,,
2021/11/14,2021/11/14,0.002073801,2.808844774,,
2021/11/15,2021/11/15,-0.002794463,2.798201096,,
2021/11/16,2021/11/16,0.010484457,2.838023172,,
2021/11/17,2021/11/17,0.022165764,2.923095889,,
2021/11/18,2021/11/18,0.01711642,2.990245245,,
2021/11/19,2021/11/19,-0.016927038,2.922702212,,
2021/11/20,2021/11/20,0.024459649,3.01865013,,
2021/11/21,2021/11/21,0.006866776,3.046245298,,
2021/11/22,2021/11/22,-0.000628636,3.043701684,,
2021/11/23,2021/11/23,-0.000146668,3.043108602,,
2021/11/24,2021/11/24,0.035478371,3.186551508,,
2021/11/25,2021/11/25,-0.007369353,3.155699334,,
2021/11/26,2021/11/26,0.014362365,3.215385005,,
2021/11/27,2021/11/27,-0.002798712,3.203587358,,
2021/11/28,2021/11/28,-0.01024162,3.160535813,,
2021/11/29,2021/11/29,0.002198659,3.169683413,,
2021/11/30,2021/11/30,-0.002584591,3.158906486,,
2021/12/1,2021/12/1,-0.000549409,3.156621544,,
2021/12/2,2021/12/2,0.004054013,3.17347254,,
2021/12/3,2021/12/3,0.012011636,3.223602771,,
2021/12/4,2021/12/4,0.009195331,3.262440198,,
2021/12/5,2021/12/5,-0.008913112,3.224448593,,
2021/12/6,2021/12/6,-0.005791665,3.199982002,,
2021/12/7,2021/12/7,-0.002154174,3.190934511,,
2021/12/8,2021/12/8,0.004304628,3.208974925,,
2021/12/9,2021/12/9,-0.010724793,3.163834541,,
2021/12/10,2021/12/10,-0.005696467,3.140115396,,
2021/12/11,2021/12/11,-0.002043172,3.13165643,,
2021/12/12,2021/12/12,-0.006261031,3.105787999,,
2021/12/13,2021/12/13,0.00014373,3.106378122,,
2021/12/14,2021/12/14,6.01E-05,3.10662492,,
2021/12/15,2021/12/15,-0.007752271,3.07478925,,
2021/12/16,2021/12/16,0.007785814,3.1065148,,
2021/12/17,2021/12/17,0.018114379,3.180901764,,
2021/12/18,2021/12/18,0.006635877,3.208645715,,
2021/12/19,2021/12/19,-0.003160745,3.19534326,,
